id	sentence	utterance
0	And I'm cool with surprises. But nothing on a Jumbotron. I don't want to cry on a big screen like that.	['none is related to nothing', 'space is related to nothing', 'need is related to want', 'desire is related to want', 'want is related to desire', '*Something you find at the movies is a screen', 'mountain is related to big', 'bear is related to big', 'city is related to big', 'cathedral is related to big', 'river is related to big', 'size is related to big', 'horse is related to big', 'tree is related to big', 'large is related to big', 'crowd is related to big', 'shade is related to cool', 'You would get wet because you want to be cool', 'cry is related to tears', 'cry is related to sad', 'One of the things you do when you watch a movie is cry', 'cry is related to emotion', 'cry is related to sadness', 'cry is related to weep', 'An activity a baby can do is cry', 'cry is related to sob']
1	We could go to Red Lobster and talk about it. We're all thinking it. I just had the decency to wait for him to leave.	['One of the things you do when you fish is wait', 'decency is a type of propriety', 'leave is related to go', 'talk is related to speak', 'Something that might happen when you talk is someone will listen', 'Something that might happen when you talk is open mouth', 'talk is related to communication', 'One of the things you do when you express information is to talk', 'Something you might do while communicating is talk', 'having a conversation requires you to talk', 'One of the things you do when you make a phone call is talk', 'An activity a friend can do is talk', 'Something you might do while enjoying the company of your friends is talk', 'drop is related to go', 'leave is related to go', 'turn is related to go', 'stop is not go', 'climb is related to go', 'ready is related to go']
2	Go out with me on one date, and I promise you, you'll see.	['eye is related to see', 'look is related to see', 'view is related to see', 'a person wants to see', 'window is related to see', 'clear is related to see', 'glass is related to see', 'birthday is related to date', 'due is related to date', 'date is related to calendar', 'date is related to day']
3	Oh, sure, what a wonderful idea. And after that, I'll make up my own rules of oral hygiene. You know, instead of flossing, I'll rub pudding on my gums. I'm going to get the number of the SyFy Channel and give them what for.	['possess is related to own', 'own is related to possess', 'have is related to own', 'You would buy something because you want to own it', 'property is related to own', 'own is related to have', 'offer is related to give', 'provide is related to give', 'pay is related to give', 'surrender is related to give', 'feed is related to give', 'dental floss is for flossing', 'Flossing is recommended', 'idea is related to thought', 'theory is related to idea', 'idea is related to bulb', 'Something you need to do before you get something is ask for it', 'If you want to get something then you should reach for it', 'get is related to receive', 'get is related to acquire', 'get is related to obtain', 'eight is related to number', 'one is related to number', 'age is related to number', 'number is related to digit', 'You are likely to find a number in a phone book', 'number is related to counting', '1 is a number', 'two is a number', 'zero is a number', 'number is related to two', 'make is related to create', 'manufacture is related to make', 'offer is related to make', 'produce is related to make', 'build is related to make', 'polish is related to make', 'oral is a synonym of unwritten', 'viva voce is a synonym of oral', 'oral examination is a synonym of oral', 'certain is related to sure', 'rub is related to massage', 'rub is related to action', 'rub is related to touch', 'rub is related to stroke', 'polish is related to rub']
4	Oh, I think we were looking at creepy in the rearview mirror when I put up that camera.	['creepy is similar to offensive', 'offensive is similar to creepy', 'alarming is similar to creepy', 'creepy is similar to alarming', 'creepy-crawly is a synonym of creepy', '*Something you find in a bedroom is a mirror', 'reflection is related to mirror', 'A mirror is a surface', 'A mirror is used to see yourself', '*Something you find in the purse is a mirror', 'You are likely to find a mirror in a car', 'You can use a camera to take pictures', 'You are likely to find a lens in the camera', 'picture is related to camera', 'flash is related to camera', 'Camera has a flash']
5	I think I'm gonna go. Thank you for the burrito and the pork rinds and the 20-minute lecture on why monster trucks are better than regular trucks.	['*Something you find under your bed is a monster', 'A zombie is a type of monster.', 'werewolf is a type of monster.', 'creature is related to monster', 'timed is similar to regular', 'weak is similar to regular', 'regular is similar to symmetrical', 'regular is similar to full-time', 'regular is similar to normal', 'drop is related to go', 'leave is related to go', 'turn is related to go', 'stop is not go', 'climb is related to go', 'ready is related to go', 'pig is related to pork', 'burrito is a type of dish', 'burrito is used in the region of Mexico', 'quesadilla is a type of burrito', 'beef burrito is a type of burrito', 'You can use a conference auditorium to lecture']
6	A lane frequented by liars. Like you, you big liar!	['perjurer is a type of liar', 'mountain is related to big', 'bear is related to big', 'city is related to big', 'cathedral is related to big', 'river is related to big', 'size is related to big', 'horse is related to big', 'tree is related to big', 'large is related to big', 'crowd is related to big', 'a lane is for driving', 'a lane is a small road', 'street is related to lane']
7	Because you're in the right lane behind a bus and you won't go around it? I'm sure she finds it charming.	['a lane is for driving', 'a lane is a small road', 'street is related to lane', 'turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct', 'certain is related to sure', '*Something you find at a bus stop is a bus', 'bus is a form of public transportation', 'You are likely to find a human in a bus', 'a bus is a form of mass transit', 'You are likely to find a bus seat in bus', 'drop is related to go', 'leave is related to go', 'turn is related to go', 'stop is not go', 'climb is related to go', 'ready is related to go']
8	"I enjoyed it. When you told me I was going to be ""losing my virginity,"" I didn't think you meant showing me <i>Raiders of the Lost Ark</i> for the first time."	['one is related to first', 'first is related to second', 'first is related to before', 'first is related to before second', 'first is related to number', 'be is related to exist', 'exist is related to to be', 'being is related to to be', 'If you want to contemplate then you should think', 'If you want to create an idea then you should think', 'Something you might do while answering questions is Think', 'One of the things you do when you analyse something is think', 'One of the things you do when you contemplate is think', 'If you want to answer questions then you should think', 'Something you need to do before you talk to someone is think', 'i is related to pronoun', 'minute is related to time', 'hour is related to time', 'clock is related to time', 'watch is related to time', 'time is related to clock', 'morning is related to time', 'evening is related to time', 'time is related to minutes', 'virginity is a type of condition']
9	It was very entertaining... despite the glaring story problem.	['watching a tv show is for entertaining', 'books can be entertaining', 'You would play games because it entertaining', 'Sometimes entertaining someone causes laughter', 'If you want to entertain someone then you should be entertaining', 'Sometimes entertaining someone causes ;you happiness', 'Something you might do while entertaining someone is bring cold drinks', 'seeing people play a game is for entertaining', 'Television is entertaining', 'entertaining someone requires something fun', 'entertaining someone is for having fun', 'viewing a video is for entertaining', 'Sometimes entertaining someone causes the person to laugh', 'Something you might do while entertaining someone is talk with a dummy', 'The effect of seeing people play a game is entertaining', 'story is related to tale', 'story is related to book', 'story is related to plot', 'character is related to story', 'a story is for entertainment', 'story is related to novel', 'a puzzle is a problem', 'trouble is related to problem', 'problem is related to math', 'problem is related to issue', 'problem is related to solution']
